Gp1,Hfd,Tb1,Wd,VEC1,sVEC,Phase Formation
3.9,0.115523174,1588.15,0.154469756,3.9,1.800000002,BMG
9.43,1.324156239,3052.3,0.041504926,7.03,1.950000001,BMG
9.15,0.693427066,3291.81,0.013743871,7.05,1.999999998,BMG
5.75,0.21899282,1900.7,0.247637946,5.75,1.75,BMG
7.8,0.16120187,3698.03,0.087482719,7,1.560000001,BMG
7.15,0.158115199,3915.4,0.068937203,5.15,1.950000002,BMG
8.13,0.318628655,3709.77,0.137808003,7.43,1.5,BMG
3.9,0.343539266,1795.175,0.187374257,3.9,1.549999998,BMG
8.84,0.986683152,3683.39,0.049221848,6.24,1.679999999,BMG
8.04,0.138754466,3529.64,0.112510006,7.54,1.999999997,BMG
5.1377,0.135154098,3696.6209,0.110197171,5.1377,1.862299999,BMG
10.424,0.554515796,3467.23,0.04989057,8.024,1.959999997,BMG
8.775,0.439774808,2655.955,0.046271917,7.075,1.792499997,BMG
9.35,1.177509288,2990.12,0.033414744,7.15,2.000000002,BMG
8.468,1.09894723,3482.9712,0.068482054,6.606,1.8138,BMG
7.72,0.13026166,3604.41,0.115634595,6.72,1.939999999,BMG
9.34,1.271556929,3140.15,0.045507611,6.94,1.899999999,BMG
5.74,0.446869094,3436.95,0.249502018,4.74,1.799999998,BMG
3.75,0.287024407,1908.5,0.158014222,3.75,1.95,BMG
3.6031,0.211278003,1612.5588,0.196330643,3.6031,1.903100001,BMG
8.22,0.158935106,3575.45,0.076602542,7.42,1.499999998,BMG
7.35,0.158833297,3862.8,0.072922904,5.85,1.749999999,BMG
8.4,0.455423603,4071.75,0.043721219,6.4,1.6,BMG
3.35,0.170325276,1840.05,0.228869823,3.35,1.85,BMG
8.8016,0.678616764,3476.9644,0.074530721,6.4976,1.96,BMG
7.1,0.330754459,3320.5,0.138325452,4.6,1.800000001,BMG
2.6546,0.256118974,1641.2508,0.164468034,2.6546,1.854599999,BMG
8.72,0.679142753,3468.29,0.083133901,6.52,1.96,BMG
8.07,0.300691853,3552.95,0.110148905,7.57,1.970000002,BMG
5.681,0.199111315,2054.636,0.200712836,5.681,1.590999999,BMG
12.48,0.185377864,2849.51,0.081347713,3.68,2,BMG
7.0103,0.157599633,3882.0347,0.073683484,6.0803,1.716099999,BMG
8.9825,0.430461687,2529.38,0.083273985,7.2825,2.000000003,BMG
10.72,0.537970193,3290.51,0.0115882,8.92,0.359999996,BMG
9.0912,0.639404675,3446.1868,0.102014933,6.8352,1.962400001,BMG
11.3,0.498303791,2573,0.034521631,9.3,0.950000003,BMG
6.75,0.260542621,3305.35,0.075211401,4.75,2.000000002,BMG
6.095,0.198708493,2122.348,0.20271426,6.095,1.544999998,BMG
4.53,0.175145532,1978.89,0.138255249,4.53,1.730000001,BMG
4.6875,0.140631414,3753.7511,0.11451706,4.6875,1.9125,BMG
4.1,0.115666735,1612.3,0.146694068,4.1,1.774999999,BMG
6.1,0.115513407,4180.77,0.101608385,5.3,1.940000001,BMG
9.57,1.291469753,2924.36,0.041782057,6.97,2.000000001,BMG
4.25,0.194520643,1928.15,0.238560941,4.25,1.750000001,BMG
6.12,0.381658213,3458.69,0.284255263,5.12,1.86,BMG
7.1,0.155701804,3924.525,0.068937203,5.1,1.975,BMG
5.25,0.146216586,3735.4,0.104575631,5.25,1.749999998,BMG
11.472,0.734138774,3113.248,0.056075077,9.822,1.142000001,BMG
11.2,0.493421708,2619.35,0.027348105,9.2,0.599999997,BMG
4.16,0.194959388,1944.95,0.247716546,4.16,1.76,BMG
7.74,0.161247639,3707.33,0.086933986,6.94,1.620000001,BMG
5.5,0.09566788,3384.95,0.194393482,4.5,1.999999998,BMG
8.896,0.670925415,3473.61,0.030120241,6.696,1.963999997,BMG
7.079,0.199545449,3960.871,0.098863551,6.079,1.771,BMG
6.55,0.13761442,4066.5,0.092044861,5.55,1.849999998,BMG
8.69,1.020002742,3651.41,0.049035198,6.39,1.679999999,BMG
7.2,0.37941564,3250.55,0.231937828,7.2,2.000000002,BMG
5.7,0.388439002,3500.55,0.282411814,4.7,2.000000001,BMG
9.405,1.196161073,2968.625,0.035222046,7.105,1.999999999,BMG
8.3,0.13145675,3443.68,0.074228901,8.2,1.399999997,BMG
6.7,0.224670706,3264.8,0.226114247,4.2,1.999999999,BMG
6.012,0.35242368,3348.358,0.146486309,4.892,1.760000001,BMG
3.725,0.338749544,1751,0.192488618,3.725,1.599999999,BMG
9.416,0.636337505,3452.542,0.023455334,7.016,1.960000003,BMG
4.9125,0.137929035,3725.2211,0.112403058,4.9125,1.887500002,BMG
8.74,1.068849566,3534.33,0.065279575,6.64,1.820000003,BMG
7.21644,0.126527177,3361.44756,0.081588259,7.01644,1.629560002,BMG
9.377,1.243688003,3102.602,0.048414448,7.377,1.94,BMG
