C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest ,UTS ,TE 
0.11,9.2,1.51,0.05,0.44,0.22,0.15,0,0.013,0,0,1050,30,650,90,300,722,13.44
0.11,9.3,1.51,0.06,0.45,0.21,0.15,0,0.014,0.008,0,1050,30,650,90,300,734,12.63
0.1,9.2,1.5,0.05,0.44,0.22,0.15,0,0.014,0.025,0,1050,30,650,90,300,643,14.64
0.11,9.2,1.51,0.06,0.45,0.22,0.15,0,0.015,0.039,0,1050,30,650,90,300,615,14.85
0.11,9.2,1.51,0.05,0.44,0.22,0.15,0,0.013,0,0,1050,30,650,90,500,610,12.95
0.11,9.3,1.51,0.06,0.45,0.21,0.15,0,0.014,0.008,0,1050,30,650,90,500,623,12.35
0.1,9.2,1.5,0.05,0.44,0.22,0.15,0,0.014,0.025,0,1050,30,650,90,500,540,13
0.11,9.2,1.51,0.06,0.45,0.22,0.15,0,0.015,0.039,0,1050,30,650,90,500,506,13.82
0.11,9.2,1.51,0.05,0.44,0.22,0.15,0,0.013,0,0,1050,30,650,90,550,541,13.66
0.11,9.3,1.51,0.06,0.45,0.21,0.15,0,0.014,0.008,0,1050,30,650,90,550,555,13
0.1,9.2,1.5,0.05,0.44,0.22,0.15,0,0.014,0.025,0,1050,30,650,90,550,454,14.36
0.11,9.2,1.51,0.06,0.45,0.22,0.15,0,0.015,0.039,0,1050,30,650,90,550,441,15.1
0.11,9.2,1.51,0.05,0.44,0.22,0.15,0,0.013,0,0,1050,30,650,90,600,463,14.7
0.11,9.3,1.51,0.06,0.45,0.21,0.15,0,0.014,0.008,0,1050,30,650,90,600,469,18
0.1,9.2,1.5,0.05,0.44,0.22,0.15,0,0.014,0.025,0,1050,30,650,90,600,388,15.5
0.11,9.2,1.51,0.06,0.45,0.22,0.15,0,0.015,0.039,0,1050,30,650,90,600,376,18
0.11,9.2,1.51,0.05,0.44,0.22,0.15,0,0.013,0,0,1050,30,650,90,650,379,23
0.11,9.3,1.51,0.06,0.45,0.21,0.15,0,0.014,0.008,0,1050,30,650,90,650,384,24.87
